time,seconds_elapsed_x,z_x,y_x,x_x,seconds_elapsed_y,z_y,y_y,x_y,activity
2025-10-31 15:19:20.985702100,4.4597021484375,0.0557037670433521,0.0237681213393807,-0.0374729676954448,4.4597021484375,-0.0274128094315528,-0.0051084384322166,-0.0228455737233161,still
2025-10-31 15:19:20.995662300,4.469662353515625,0.0528442859590053,0.0219914670556783,-0.0176165490402374,4.469662353515625,-0.0291728898882865,-0.0116475634276866,-0.0285671092569828,still
2025-10-31 15:19:21.005623000,4.479623046875,0.0432364996582269,0.0590144990265369,0.005015426142374,4.479623046875,-0.0287164896726608,-0.016230035573244,-0.0315711311995983,still
2025-10-31 15:19:21.015584300,4.489584228515625,-0.0433621718645095,0.0841705675929784,0.0211828358202241,4.489584228515625,-0.0266315005719661,-0.0144337331876158,-0.0234114695340394,still
2025-10-31 15:19:21.025544200,4.499544189453125,-0.1419523099541664,0.1140969193011522,0.0447111479212064,4.499544189453125,-0.0181048400700092,-0.0140716172754764,-0.0091798091307282,still
2025-10-31 15:19:21.035505200,4.509505126953125,-0.2027811649262905,0.136790689407289,0.0665674442898947,4.509505126953125,-0.007122229784727,-0.0097951125353574,0.0032134766224771,still
2025-10-31 15:19:21.045465300,4.51946533203125,-0.2071475434422492,0.1408428874075412,0.0734033364582341,4.51946533203125,-0.0008646640926599,-0.0079708183184266,0.0105060348287224,still
2025-10-31 15:19:21.055426000,4.529426025390625,-0.1795855827778577,0.123207861995697,0.054153541926667,4.529426025390625,0.0031332734506577,-0.0075260708108544,0.0087179886177182,still
2025-10-31 15:19:21.065387300,4.53938720703125,-0.1446697522193193,0.0913879516258835,0.0332157577755395,4.53938720703125,0.0014803046360611,-0.0030723253730684,0.0024739201180636,still
2025-10-31 15:19:21.075347200,4.54934716796875,-0.1000806689083576,0.0453323028936982,0.0267739794913213,4.54934716796875,0.0032033699098974,-0.003004148369655,-0.0011599631980061,still
2025-10-31 15:19:21.085308200,4.55930810546875,-0.0945019919931888,0.0360664618983864,0.0158358031033072,4.55930810546875,-0.0001836698502302,0.0041929259896278,-0.0015817955136299,still
2025-10-31 15:19:21.095268400,4.569268310546875,-0.1147135898947715,0.0378793565392494,-0.007401398830302,4.569268310546875,0.00036281067878,0.0054579274728894,0.0039064469747245,still
2025-10-31 15:19:21.105229000,4.57922900390625,-0.1112087966442108,0.0465574607744812,0.0201732295194175,4.57922900390625,0.0068876342847943,0.0053382473997771,0.0139483967795968,still
2025-10-31 15:19:21.115190000,4.58918994140625,-0.0804775582939386,0.0189960846319794,0.0591713883549906,4.58918994140625,0.0109649337828159,0.001247632317245,0.0214843433350324,still
2025-10-31 15:19:21.125150200,4.599150146484375,-0.0204003984719514,-0.0078089201852679,0.0759359419420827,4.599150146484375,0.0119505301117897,-0.006425947882235,0.0228851810097694,still
2025-10-31 15:19:21.135111200,4.609111083984375,0.0670738868415355,-0.0585842909157276,0.0671594553662929,4.609111083984375,0.009835448116064,-0.0233194436877965,0.0135087249800562,still
2025-10-31 15:19:21.145071000,4.619071044921875,0.1516980434209108,-0.1059428389400243,0.0504114327888935,4.619071044921875,0.0044358889572322,-0.0382334105670452,-0.0052316738292574,still
2025-10-31 15:19:21.155032000,4.629031982421875,0.1491010126650333,-0.1281733754485845,-0.0094958868915215,4.629031982421875,-0.0054444391280412,-0.0441461615264415,-0.0270597413182258,still
2025-10-31 15:19:21.164993000,4.638992919921875,0.0381114117294549,-0.1138619415014982,-0.0843386176362633,4.638992919921875,-0.0125292306765913,-0.0281917713582515,-0.0325003191828727,still
2025-10-31 15:19:21.174953200,4.648953125,-0.157848382744193,-0.0688908731356263,-0.1362941928609274,4.648953125,-0.0181698054075241,-0.0114809684455394,-0.0324092395603656,still
